rank,stars,forks,language,category,full_name,description,note,homepage,html_url,license,created_at,pushed_at,source
1,389559,81888,TypeScript,coding-agent/personal-agent,openclaw/openclaw,The AI that really does things. Any OS. Any Platform. The lobster way.,"OpenClaw — personal AI agent, any OS/platform",https://openclaw.ai,https://github.com/openclaw/openclaw,,,,prev
2,244997,50880,Python,coding-agent/personal-agent,NousResearch/hermes-agent,The agent that grows with you,Hermes Agent,https://hermes-agent.nousresearch.com,https://github.com/NousResearch/hermes-agent,MIT,2025-07-22T22:22:28Z,2026-09-13T07:29:15Z,prev
3,221981,26336,TypeScript,coding-agent,deepseek-ai/deepseek-harness,DeepSeek Harness: Everything is a Plugin.,DeepSeek Harness,https://deepseek.com/harness,https://github.com/deepseek-ai/deepseek-harness,MIT,2026-08-13T11:56:32Z,2026-09-11T03:06:25Z,prev
4,206999,27119,TypeScript,coding-agent,anomalyco/opencode,The open source coding agent.,OpenCode — open source coding agent (opencode.ai),https://opencode.ai,https://github.com/anomalyco/opencode,MIT,2025-04-30T20:08:00Z,2026-09-13T05:46:37Z,prev
5,187294,46019,Python,autonomous-agent,Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",AutoGPT,https://agpt.co,https://github.com/Significant-Gravitas/AutoGPT,NOASSERTION,2023-03-16T09:21:07Z,2026-09-13T06:10:42Z,prev
6,179678,9770,TypeScript,agent-infrastructure,firecrawl/firecrawl,"The context API to search, scrape, and interact with the web at scale. 🔥",Firecrawl — web context API,https://firecrawl.dev,https://github.com/firecrawl/firecrawl,AGPL-3.0,2024-04-15T21:02:29Z,2026-09-13T06:27:14Z,prev
7,155569,24573,TypeScript,workflow-platform,langgenius/dify,"Build Agentic workflows, RAG pipelines, with rich AI model and tool support on one collaborative workspace. Deploy on cloud, VPC, or self-hosted, so teams move from prototype to production without rebuilding the stack.",Dify,https://dify.ai,https://github.com/langgenius/dify,NOASSERTION,2023-04-12T07:40:24Z,2026-09-12T23:51:51Z,prev
8,154698,10084,Python,workflow-platform,langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,Langflow,http://www.langflow.org,https://github.com/langflow-ai/langflow,MIT,2023-02-08T22:28:03Z,2026-09-13T00:43:23Z,prev
9,146212,24431,Python,multi-agent-framework,langchain-ai/langchain,The agent engineering platform.,LangChain,https://docs.langchain.com/langchain/,https://github.com/langchain-ai/langchain,MIT,2022-10-17T02:58:36Z,2026-09-13T08:27:48Z,prev
10,144886,23135,Python,coding-agent,anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",Claude Code — agentic coding in terminal,https://code.claude.com/docs/en/overview,https://github.com/anthropics/claude-code,,2025-02-22T17:41:21Z,2026-09-13T03:16:44Z,prev
11,123709,19066,Rust,coding-agent,openai/codex,Lightweight coding agent that runs in your terminal,OpenAI Codex — lightweight coding agent,,https://github.com/openai/codex,Apache-2.0,2025-04-13T05:37:54Z,2026-09-13T06:53:33Z,prev
12,114422,12575,Python,browser-computer-use,browser-use/browser-use,Agents that use the browser.,browser-use,https://browser-use.com,https://github.com/browser-use/browser-use,MIT,2024-10-31T16:00:56Z,2026-09-12T07:39:39Z,prev
13,106947,14568,TypeScript,coding-agent,google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,Gemini CLI — open-source terminal agent,https://geminicli.com,https://github.com/google-gemini/gemini-cli,Apache-2.0,2025-04-17T17:04:31Z,2026-09-13T01:29:26Z,prev
14,104868,20129,Python,multi-agent-framework,TauricResearch/TradingAgents,TradingAgents: Multi-Agents LLM Financial Trading Framework,TradingAgents,https://arxiv.org/pdf/2412.20138,https://github.com/TauricResearch/TradingAgents,Apache-2.0,2024-12-28T03:31:08Z,2026-09-07T22:51:54Z,prev
15,104509,13114,TypeScript,coding-agent,earendil-works/pi,"AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI",Pi — AI agent toolkit / coding CLI,,https://github.com/earendil-works/pi,MIT,2025-08-09T14:03:50Z,2026-09-13T02:01:58Z,prev
16,90000,,Svelte,workflow-platform,open-webui/open-webui,Open WebUI,Open WebUI,,https://github.com/open-webui/open-webui,,,,prev
17,87716,11489,TypeScript,coding-agent,OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,OpenHands (ex-OpenDevin) — AI software engineer,https://openhands.dev,https://github.com/OpenHands/OpenHands,MIT,2024-03-13T03:33:31Z,2026-09-13T08:39:07Z,prev
18,82333,11356,Python,multi-agent-framework,bytedance/deer-flow,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.",DeerFlow — long-horizon SuperAgent,https://deerflow.tech,https://github.com/bytedance/deer-flow,MIT,2025-05-07T02:50:19Z,2026-09-13T09:23:05Z,prev
19,80000,,TypeScript,workflow-platform,n8n-io/n8n,Workflow automation,n8n,https://n8n.io,https://github.com/n8n-io/n8n,,,,prev
20,71720,5644,,agent-infrastructure,daytonaio/daytona,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,Daytona — secure code runtime,https://daytona.io,https://github.com/daytonaio/daytona,,2024-02-06T08:21:20Z,2026-07-24T07:12:07Z,prev
21,70342,8943,Python,multi-agent-framework,FoundationAgents/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",MetaGPT,https://atoms.dev/,https://github.com/FoundationAgents/MetaGPT,MIT,2023-06-30T09:04:55Z,2026-01-21T10:12:33Z,prev
22,67909,7337,TypeScript,coding-agent,cline/cline,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",Cline — autonomous coding agent SDK/IDE/CLI,https://cline.bot,https://github.com/cline/cline,Apache-2.0,2024-07-06T07:28:10Z,2026-09-12T22:59:21Z,prev
23,65971,7313,JavaScript,workflow-platform,Mintplex-Labs/anything-llm,Stop renting your intelligence. Own it with AnythingLLM. Everything you need for a powerful local-first agent experience ,AnythingLLM,https://anythingllm.com,https://github.com/Mintplex-Labs/anything-llm,MIT,2023-06-04T02:29:14Z,2026-09-11T01:01:33Z,prev
24,65211,7633,Python,agent-infrastructure,mem0ai/mem0,The Memory Layer for AI Agents - Drop-in memory infrastructure for AI agents and apps. Context that persists. Built for production.,Mem0 — memory layer,https://mem0.ai,https://github.com/mem0ai/mem0,Apache-2.0,2023-06-20T08:58:36Z,2026-09-11T15:36:33Z,prev
25,60957,9206,Python,multi-agent-framework,microsoft/autogen,A programming framework for agentic AI,AutoGen,https://microsoft.github.io/autogen/,https://github.com/microsoft/autogen,CC-BY-4.0,2023-08-18T11:43:45Z,2026-04-15T11:59:09Z,prev
26,60000,,TypeScript,workflow-platform,lobehub/lobe-chat,LobeChat,LobeChat,,https://github.com/lobehub/lobe-chat,,,,prev
27,58610,11395,Python,agent-infrastructure,BerriAI/litellm,"The fastest, litest AI Gateway. Rust core with Python SDK. Call 100+ LLM APIs in OpenAI (or native) format with cost tracking, guardrails, load balancing, and logging [Bedrock, Azure, OpenAI, Anthropic, OpenAI, VertexAI, vLLM, Nvidia NIM]",LiteLLM gateway,https://docs.litellm.ai/docs/,https://github.com/BerriAI/litellm,NOASSERTION,2023-07-27T00:09:52Z,2026-09-13T09:34:18Z,prev
28,58435,8425,Python,multi-agent-framework,crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",CrewAI,https://crewai.com,https://github.com/crewAIInc/crewAI,MIT,2023-10-27T03:26:59Z,2026-09-11T19:46:20Z,prev
29,58000,,Python,coding-agent,OpenInterpreter/open-interpreter,A natural language interface for computers,Open Interpreter — local code agent,https://openinterpreter.com,https://github.com/OpenInterpreter/open-interpreter,,,,snapshot
30,56000,,Python,llm-app,imartinez/privateGPT,Interact with documents privately,privateGPT,,https://github.com/imartinez/privateGPT,,,,snapshot
31,55456,25002,TypeScript,workflow-platform,FlowiseAI/Flowise,"Build AI Agents, Visually",Flowise,https://flowiseai.com,https://github.com/FlowiseAI/Flowise,NOASSERTION,2023-03-31T12:23:09Z,2026-08-13T12:38:19Z,prev
32,55102,7289,Python,coding-agent,AntonOsika/gpt-engineer,CLI platform to experiment with codegen. Precursor to: https://lovable.dev,gpt-engineer — codegen CLI platform,,https://github.com/AntonOsika/gpt-engineer,MIT,2023-04-29T12:52:15Z,2025-05-14T10:15:10Z,prev
33,51786,3641,TypeScript,agent-infrastructure,ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,Chrome DevTools MCP,https://developer.chrome.com/docs/devtools/agents,https://github.com/ChromeDevTools/chrome-devtools-mcp,Apache-2.0,2025-09-11T10:39:55Z,2026-09-13T00:06:25Z,prev
34,50000,,TypeScript,coding-agent,getcursor/cursor,The AI Code Editor,Cursor — AI code editor,https://cursor.com,https://github.com/getcursor/cursor,,,,prev
35,50000,,Python,llm-app,binary-husky/gpt_academic,GPT Academic,GPT Academic,,https://github.com/binary-husky/gpt_academic,,,,prev
36,49936,4295,Ruby,autonomous-agent,huginn/huginn,Create agents that monitor and act on your behalf.  Your agents are standing by!,Huginn — agents that monitor & act,,https://github.com/huginn/huginn,MIT,2013-03-10T06:00:31Z,2026-09-12T20:36:57Z,prev
37,48070,8499,Python,multi-agent-framework,HKUDS/nanobot,"Ultra-lightweight, open-source, self-hosted personal AI agent framework in Python with WebUI, tools, memory, MCP, multi-agent workflows, automation, and chat apps",nanobot — personal agent framework,https://nanobot.wiki,https://github.com/HKUDS/nanobot,MIT,2026-02-01T07:16:15Z,2026-09-13T07:15:17Z,prev
