rank,stars,forks,language,category,full_name,description,note,homepage,html_url,license,created_at,pushed_at,source
1,389559,,TypeScript,coding-agent/personal-agent,openclaw/openclaw,The AI that really does things. Any OS. Any Platform.,"OpenClaw — personal AI agent, any OS/platform",https://openclaw.ai,https://github.com/openclaw/openclaw,,,,snapshot
2,244997,,Python,coding-agent/personal-agent,NousResearch/hermes-agent,The agent that grows with you,Hermes Agent,,https://github.com/NousResearch/hermes-agent,,,,snapshot
3,221981,,TypeScript,coding-agent,deepseek-ai/deepseek-harness,DeepSeek Harness: Everything is a Plugin,DeepSeek Harness,,https://github.com/deepseek-ai/deepseek-harness,,,,snapshot
4,207001,,TypeScript,coding-agent,anomalyco/opencode,The open source coding agent.,OpenCode — open source coding agent (opencode.ai),https://opencode.ai,https://github.com/anomalyco/opencode,,,,snapshot
5,187294,,Python,autonomous-agent,Significant-Gravitas/AutoGPT,AutoGPT,AutoGPT,,https://github.com/Significant-Gravitas/AutoGPT,,,,snapshot
6,179678,,TypeScript,agent-infrastructure,firecrawl/firecrawl,Web scraping API for AI,Firecrawl — web context API,,https://github.com/firecrawl/firecrawl,,,,snapshot
7,155569,,TypeScript,workflow-platform,langgenius/dify,Agentic workflows & RAG,Dify,,https://github.com/langgenius/dify,,,,snapshot
8,154698,,Python,workflow-platform,langflow-ai/langflow,Build and deploy AI agents and workflows,Langflow,,https://github.com/langflow-ai/langflow,,,,snapshot
9,146212,,Python,multi-agent-framework,langchain-ai/langchain,The agent engineering platform,LangChain,,https://github.com/langchain-ai/langchain,,,,snapshot
10,144886,,TypeScript,coding-agent,anthropics/claude-code,Claude Code — agentic coding tool in your terminal,Claude Code — agentic coding in terminal,,https://github.com/anthropics/claude-code,,,,snapshot
11,123709,,Rust,coding-agent,openai/codex,Lightweight coding agent that runs in your terminal,OpenAI Codex — lightweight coding agent,,https://github.com/openai/codex,,,,snapshot
12,114422,,Python,browser-computer-use,browser-use/browser-use,Agents that use the browser,browser-use,,https://github.com/browser-use/browser-use,,,,snapshot
13,106947,,TypeScript,coding-agent,google-gemini/gemini-cli,Open-source AI agent in your terminal,Gemini CLI — open-source terminal agent,,https://github.com/google-gemini/gemini-cli,,,,snapshot
14,104868,,Python,multi-agent-framework,TauricResearch/TradingAgents,Multi-Agents LLM Financial Trading,TradingAgents,,https://github.com/TauricResearch/TradingAgents,,,,snapshot
15,104509,,TypeScript,coding-agent,earendil-works/pi,"AI agent toolkit: unified LLM API, agent loop, coding CLI",Pi — AI agent toolkit / coding CLI,,https://github.com/earendil-works/pi,,,,snapshot
16,90000,,Svelte,workflow-platform,open-webui/open-webui,Open WebUI,Open WebUI,,https://github.com/open-webui/open-webui,,,,snapshot
17,87716,,TypeScript,coding-agent,OpenHands/OpenHands,OpenHands: AI-Driven Development,OpenHands (ex-OpenDevin) — AI software engineer,,https://github.com/OpenHands/OpenHands,,,,snapshot
18,82333,,Python,multi-agent-framework,bytedance/deer-flow,Long-horizon SuperAgent harness,DeerFlow — long-horizon SuperAgent,,https://github.com/bytedance/deer-flow,,,,snapshot
19,80000,,TypeScript,workflow-platform,n8n-io/n8n,Workflow automation,n8n,https://n8n.io,https://github.com/n8n-io/n8n,,,,snapshot
20,71720,,TypeScript,agent-infrastructure,daytonaio/daytona,Secure infrastructure for AI-generated code,Daytona — secure code runtime,,https://github.com/daytonaio/daytona,,,,snapshot
21,70342,,Python,multi-agent-framework,FoundationAgents/MetaGPT,Multi-Agent Framework,MetaGPT,,https://github.com/FoundationAgents/MetaGPT,,,,snapshot
22,67909,,TypeScript,coding-agent,cline/cline,"Autonomous coding agent as SDK, IDE extension, or CLI",Cline — autonomous coding agent SDK/IDE/CLI,,https://github.com/cline/cline,,,,snapshot
23,65971,,JavaScript,workflow-platform,Mintplex-Labs/anything-llm,All-in-one AI application,AnythingLLM,,https://github.com/Mintplex-Labs/anything-llm,,,,snapshot
24,65211,,Python,agent-infrastructure,mem0ai/mem0,The Memory Layer for AI Agents,Mem0 — memory layer,,https://github.com/mem0ai/mem0,,,,snapshot
25,60957,,Python,multi-agent-framework,microsoft/autogen,A programming framework for agentic AI,AutoGen,,https://github.com/microsoft/autogen,,,,snapshot
26,60000,,TypeScript,workflow-platform,lobehub/lobe-chat,LobeChat,LobeChat,,https://github.com/lobehub/lobe-chat,,,,snapshot
27,58610,,Python,agent-infrastructure,BerriAI/litellm,LLM Gateway,LiteLLM gateway,,https://github.com/BerriAI/litellm,,,,snapshot
28,58435,,Python,multi-agent-framework,crewAIInc/crewAI,Orchestrating role-playing autonomous AI agents,CrewAI,,https://github.com/crewAIInc/crewAI,,,,snapshot
29,58000,,Python,coding-agent,OpenInterpreter/open-interpreter,A natural language interface for computers,Open Interpreter — local code agent,https://openinterpreter.com,https://github.com/OpenInterpreter/open-interpreter,,,,snapshot
30,56000,,Python,llm-app,imartinez/privateGPT,Interact with documents privately,privateGPT,,https://github.com/imartinez/privateGPT,,,,snapshot
31,55456,,TypeScript,workflow-platform,FlowiseAI/Flowise,"Build AI Agents, Visually",Flowise,,https://github.com/FlowiseAI/Flowise,,,,snapshot
32,55102,,Python,coding-agent,AntonOsika/gpt-engineer,gpt-engineer,gpt-engineer — codegen CLI platform,,https://github.com/AntonOsika/gpt-engineer,,,,snapshot
33,51786,,TypeScript,agent-infrastructure,ChromeDevTools/chrome-devtools-mcp,Chrome DevTools MCP,Chrome DevTools MCP,,https://github.com/ChromeDevTools/chrome-devtools-mcp,,,,snapshot
34,50000,,TypeScript,coding-agent,getcursor/cursor,The AI Code Editor,Cursor — AI code editor,https://cursor.com,https://github.com/getcursor/cursor,,,,snapshot
35,50000,,Python,llm-app,binary-husky/gpt_academic,GPT Academic,GPT Academic,,https://github.com/binary-husky/gpt_academic,,,,snapshot
36,49936,,Ruby,autonomous-agent,huginn/huginn,Create agents that monitor and act,Huginn — agents that monitor & act,,https://github.com/huginn/huginn,,,,snapshot
37,48070,,Python,multi-agent-framework,HKUDS/nanobot,nanobot personal AI agent,nanobot — personal agent framework,,https://github.com/HKUDS/nanobot,,,,snapshot
38,46939,,Python,multi-agent-framework,zhayujie/CowAgent,CowAgent harness,CowAgent,,https://github.com/zhayujie/CowAgent,,,,snapshot
39,43083,,TypeScript,workflow-platform,danny-avila/LibreChat,Enhanced ChatGPT clone,LibreChat,,https://github.com/danny-avila/LibreChat,,,,snapshot
40,42479,,Rust,browser-computer-use,vercel-labs/agent-browser,Browser automation CLI for AI agents,Vercel agent-browser,,https://github.com/vercel-labs/agent-browser,,,,snapshot
41,42204,,Python,multi-agent-framework,666ghj/BettaFish,多Agent舆情分析,微舆 multi-agent 舆情,,https://github.com/666ghj/BettaFish,,,,snapshot
42,42149,,Python,multi-agent-framework,agno-agi/agno,"Build, run, and manage agent platforms",Agno,,https://github.com/agno-agi/agno,,,,snapshot
43,41548,,Python,multi-agent-framework,langchain-ai/langgraph,Build resilient agents,LangGraph,,https://github.com/langchain-ai/langgraph,,,,snapshot
44,40415,,Python,workflow-platform,AstrBotDevs/AstrBot,AstrBot,AstrBot,,https://github.com/AstrBotDevs/AstrBot,,,,snapshot
